tdt_file,med_file,mouse,sex,region,virus,diet,date,session,phase,box,squad,L_nutrient,L_flavor,L_number_licks,R_nutrient,R_flavor,R_number_licks,total_licks,left_cue,right_cue,signal_uv,signal_blue,ttl_sipper_left,ttl_lick_left,ttl_sipper_right,ttl_lick_right,endcol
HistaLight-240207-102124,2024-02-07_11h01m_Subject HL202.txt,HL202,male,PVH,hislight,chow,2/7/2024,1,unrestricted_continuous_access,5,1,,,,ensure,,0,0,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240207-102124,2024-02-07_11h01m_Subject HL203.txt,HL203,male,PVH,hislight,chow,2/7/2024,1,unrestricted_continuous_access,6,1,,,,ensure,,281,281,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240207-102124,2024-02-07_11h01m_Subject HL204.txt,HL204,male,PVH,hislight,chow,2/7/2024,1,unrestricted_continuous_access,7,1,,,,ensure,,465,465,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240207-105538,2024-02-07_11h37m_Subject HL205.txt,HL205,male,PVH,hislight,chow,2/7/2024,1,unrestricted_continuous_access,5,2,,,,ensure,,168,168,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240207-105538,2024-02-07_11h37m_Subject HL206.txt,HL206,male,PVH,hislight,chow,2/7/2024,1,unrestricted_continuous_access,6,2,,,,ensure,,2,2,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240207-105538,2024-02-07_11h37m_Subject HL207.txt,HL207,male,PVH,hislight,chow,2/7/2024,1,unrestricted_continuous_access,7,2,,,,ensure,,562,562,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240207-105538,2024-02-07_11h37m_Subject HL208.txt,HL208,male,PVH,hislight,chow,2/7/2024,1,unrestricted_continuous_access,8,2,,,,ensure,,423,423,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240207-113452,2024-02-07_12h14m_Subject NAD209.txt,HL209,male,PVH,hislight,chow,2/7/2024,1,unrestricted_continuous_access,5,3,,,,ensure,,286,286,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240207-113452,2024-02-07_12h14m_Subject NAD210.txt,HL210,male,PVH,hislight,chow,2/7/2024,1,unrestricted_continuous_access,6,3,,,,ensure,,62,62,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240207-113452,2024-02-07_12h14m_Subject NAD211.txt,HL211,male,PVH,hislight,chow,2/7/2024,1,unrestricted_continuous_access,7,3,,,,ensure,,574,574,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240207-113452,2024-02-07_12h14m_Subject NAD212.txt,HL212,male,PVH,hislight,chow,2/7/2024,1,unrestricted_continuous_access,8,3,,,,ensure,,537,537,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240213-110153,2024-02-13_11h36m_Subject HL202.txt,HL202,male,PVH,hislight,chow,2/13/2024,2,unrestricted_continuous_access,5,1,,,,ensure,,400,400,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240213-110153,2024-02-13_11h36m_Subject HL203.txt,HL203,male,PVH,hislight,chow,2/13/2024,2,unrestricted_continuous_access,6,1,,,,ensure,,367,367,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240213-110153,2024-02-13_11h36m_Subject HL204.txt,HL204,male,PVH,hislight,chow,2/13/2024,2,unrestricted_continuous_access,7,1,,,,ensure,,332,332,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240213-114005,2024-02-13_12h22m_Subject HL205.txt,HL205,male,PVH,hislight,chow,2/13/2024,2,unrestricted_continuous_access,5,2,,,,ensure,,349,349,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240213-114005,2024-02-13_12h22m_Subject HL206.txt,HL206,male,PVH,hislight,chow,2/13/2024,2,unrestricted_continuous_access,6,2,,,,ensure,,1,1,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240213-114005,2024-02-13_12h22m_Subject HL207.txt,HL207,male,PVH,hislight,chow,2/13/2024,2,unrestricted_continuous_access,7,2,,,,ensure,,1030,1030,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240213-114005,2024-02-13_12h22m_Subject HL208.txt,HL208,male,PVH,hislight,chow,2/13/2024,2,unrestricted_continuous_access,8,2,,,,ensure,,218,218,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240213-122110,2024-02-13_13h03m_Subject HL209.txt,HL209,male,PVH,hislight,chow,2/13/2024,2,unrestricted_continuous_access,5,3,,,,ensure,,633,633,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240213-122110,2024-02-13_13h03m_Subject HL210.txt,HL210,male,PVH,hislight,chow,2/13/2024,2,unrestricted_continuous_access,6,3,,,,ensure,,335,335,,,_4056,_4656,_619_,_620_,_617_,_618_,0
HistaLight-240213-122110,2024-02-13_13h03m_Subject HL211.txt,HL211,male,PVH,hislight,chow,2/13/2024,2,unrestricted_continuous_access,7,3,,,,ensure,,416,416,,,_4057,_4657,_719_,_720_,_717_,_718_,0
HistaLight-240213-122110,2024-02-13_13h03m_Subject HL212.txt,HL212,male,PVH,hislight,chow,2/13/2024,2,unrestricted_continuous_access,8,3,,,,ensure,,526,526,,,_4058,_4658,_819_,_820_,_817_,_818_,0
HistaLight-240215-084415,2024-02-15_09h26m_Subject HL202.txt,HL202,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,5,1,,,,ensure,,560,560,,,_4055,_4655,_519_,_520_,_517_,_518_,0
HistaLight-240215-084415,2024-02-15_09h26m_Subject HL203.txt,HL203,male,PVH,hislight,chow,2/15/2024,3,unrestricted_continuous_access,6,1,,,,ensure,,494,494,,,_4056,_4656,_619_,_620_,_617_,_618_,0
